CC,Year,Education
IRL,2019,55.44936
IRL,2020,58.383801
ITA,2000,10.429003
ITA,2001,11.754972
ITA,2002,12.461238
ITA,2003,12.695857
ITA,2004,14.792785
ITA,2005,16.105026
ITA,2006,17.283623
ITA,2007,18.863468
ITA,2008,19.90484
ITA,2009,20.160688
ITA,2010,20.719744
ITA,2011,20.983423
ITA,2012,22.250719
ITA,2013,22.744907
ITA,2014,24.158854
ITA,2015,25.149963
ITA,2016,25.584146
ITA,2017,26.816479
ITA,2018,27.863623
ITA,2019,27.931559
ITA,2020,28.628069
NLD,2000,26.57077
NLD,2001,26.544241
NLD,2002,28.261511
NLD,2003,32.107986
NLD,2004,34.481209
NLD,2005,35.375629
NLD,2006,35.957436
NLD,2007,36.696419
NLD,2008,39.766335
NLD,2009,40.122009
NLD,2010,40.803711
NLD,2011,39.784946
NLD,2012,43.036243
NLD,2013,43.793591
NLD,2014,45.43515
NLD,2015,46.253574
NLD,2016,46.487251
NLD,2017,47.994652
NLD,2018,49.308193
NLD,2019,49.565659
NLD,2020,52.15403
NOR,2000,40.902966
NOR,2001,40.902966
NOR,2002,40.902966
NOR,2003,40.902966
NOR,2004,40.902966
NOR,2005,40.902966
NOR,2006,41.545238
NOR,2007,42.6511
NOR,2008,45.578697
NOR,2009,46.829773
NOR,2010,47.255039
NOR,2011,46.807133
NOR,2012,45.018452
NOR,2013,46.648712
NOR,2014,49.008167
NOR,2015,48.138676
NOR,2016,48.614609
NOR,2017,48.337029
NOR,2018,48.211601
NOR,2019,48.658932
NOR,2020,50.841923
POL,2000,14.184261
POL,2001,15.197033
POL,2002,16.765888
POL,2003,20.421402
POL,2004,23.180305
POL,2005,25.536215
POL,2006,28.039427
POL,2007,30.047649
POL,2008,32.133198
POL,2009,35.449848
POL,2010,37.126976
POL,2011,38.998249
POL,2012,40.798927
POL,2013,41.82151
POL,2014,42.60154
POL,2015,43.193764
POL,2016,43.47826
POL,2017,43.526325
POL,2018,43.523716
POL,2019,43.484364
POL,2020,42.433945
PRT,2000,12.948861
PRT,2001,14.205399
PRT,2002,15.375848
PRT,2003,16.865643
PRT,2004,18.580444
PRT,2005,19.114288
PRT,2006,20.043453
PRT,2007,21.415401
PRT,2008,23.173708
PRT,2009,23.341423
PRT,2010,24.804928
PRT,2011,26.924166
PRT,2012,28.331631
PRT,2013,29.313473
PRT,2014,31.439877
PRT,2015,33.139576
PRT,2016,34.969795
PRT,2017,34.031322
PRT,2018,35.078072
PRT,2019,37.36721
PRT,2020,41.910061
RUS,2000,52.537052
RUS,2001,52.537052
RUS,2002,52.537052
RUS,2003,52.537052
RUS,2004,52.537052
RUS,2005,52.537052
RUS,2006,52.537052
RUS,2007,52.537052
RUS,2008,52.537052
RUS,2009,52.537052
RUS,2010,52.537052
RUS,2011,53.268311
RUS,2012,53.534069
RUS,2013,54.66906
RUS,2014,55.64846
RUS,2015,56.2855
RUS,2016,57.57906
RUS,2017,62.657864
RUS,2018,62.09024
RUS,2019,62.09024
RUS,2020,62.09024
SVK,2000,11.197058
SVK,2001,11.86272
SVK,2002,11.88759
SVK,2003,13.217635
SVK,2004,14.276714
SVK,2005,16.254873
SVK,2006,16.639072
SVK,2007,17.470783
SVK,2008,18.438622
SVK,2009,20.587223
SVK,2010,24.029381
SVK,2011,25.505198
SVK,2012,26.97694
SVK,2013,29.674646
SVK,2014,29.826096
SVK,2015,31.312998
SVK,2016,33.372261
SVK,2017,35.065048
SVK,2018,37.208523
SVK,2019,39.158154
SVK,2020,39.042641
SVN,2000,19.301691
SVN,2001,19.680832
SVN,2002,19.680832
SVN,2003,23.663876
SVN,2004,24.868273
SVN,2005,24.686516
SVN,2006,27.004595
SVN,2007,30.066837
SVN,2008,30.041327
SVN,2009,30.383877
SVN,2010,31.307655
SVN,2011,33.815281
SVN,2012,35.340069
SVN,2013,37.393593
SVN,2014,38.080215
SVN,2015,40.758549
SVN,2016,42.977364
SVN,2017,44.566971
SVN,2018,40.713264
SVN,2019,44.105736
SVN,2020,45.425419
SWE,2000,33.639328
SWE,2001,36.882835
SWE,2002,39.169037
SWE,2003,40.438534
SWE,2004,42.302197
SWE,2005,37.286453
SWE,2006,39.131115
SWE,2007,39.952
SWE,2008,40.831505
SWE,2009,42.351131
SWE,2010,42.23127
SWE,2011,42.86599
SWE,2012,43.473869
SWE,2013,44.817905
SWE,2014,45.978123
SWE,2015,46.408928
SWE,2016,47.215698
SWE,2017,47.388306
SWE,2018,47.530075
SWE,2019,48.373196
SWE,2020,49.133411
TUR,2000,8.8802376
TUR,2001,9.1435289
TUR,2002,10.491946
TUR,2003,11.389406
TUR,2004,11.481482
TUR,2005,12.508089
TUR,2006,13.459621
TUR,2007,14.199503
TUR,2008,15.463108
TUR,2009,16.639408
TUR,2010,17.447386
TUR,2011,18.87298
TUR,2012,20.998264
TUR,2013,22.456688
TUR,2014,24.793388
TUR,2015,27.517448
TUR,2016,30.456598
TUR,2017,31.588659
TUR,2018,33.280041
TUR,2019,35.325356
TUR,2020,39.825943
