CC,Year,EPS
FIN,2011,3.75
FIN,2012,3.6388888
FIN,2013,3.6388888
FIN,2014,3.6944444
FIN,2015,3.8611112
FIN,2016,3.8333333
FIN,2017,3.8333333
FIN,2018,3.9166667
FIN,2019,3.8055556
FIN,2020,4.1111112
SVK,2000,1.1388888
SVK,2001,1.1388888
SVK,2002,1.4166666
SVK,2003,1.4722222
SVK,2004,1.4722222
SVK,2005,2.0833333
SVK,2006,2.1388888
SVK,2007,1.8055556
SVK,2008,1.8055556
SVK,2009,2.4166667
SVK,2010,2.3055556
SVK,2011,2.6944444
SVK,2012,2.5833333
SVK,2013,3.1666667
SVK,2014,3.0
SVK,2015,2.8333333
SVK,2016,3.0555556
SVK,2017,2.4166667
SVK,2018,2.5555556
SVK,2019,2.4444444
SVK,2020,2.5
PRT,2000,1.3055556
PRT,2001,1.3888888
PRT,2002,1.4444444
PRT,2003,2.2777777
PRT,2004,2.2777777
PRT,2005,2.6666667
PRT,2006,2.6944444
PRT,2007,2.3611112
PRT,2008,2.6944444
PRT,2009,2.75
PRT,2010,2.75
PRT,2011,2.9166667
PRT,2012,2.8055556
PRT,2013,2.8055556
PRT,2014,2.1111112
PRT,2015,2.1666667
PRT,2016,2.3888888
PRT,2017,2.3888888
PRT,2018,2.3888888
PRT,2019,2.6666667
PRT,2020,2.7777777
DEU,2000,1.7777778
DEU,2001,1.7777778
DEU,2002,2.4166667
DEU,2003,2.6666667
DEU,2004,2.7777777
DEU,2005,2.8888888
DEU,2006,2.9444444
DEU,2007,2.7777777
DEU,2008,3.0277777
DEU,2009,3.1388888
DEU,2010,3.0833333
DEU,2011,3.1666667
DEU,2012,3.0555556
DEU,2013,3.2222223
DEU,2014,3.1111112
DEU,2015,3.0277777
DEU,2016,3.0833333
DEU,2017,3.0277777
DEU,2018,3.25
DEU,2019,3.3055556
DEU,2020,3.4722223
TUR,2000,0.77777779
TUR,2001,0.77777779
TUR,2002,0.83333331
TUR,2003,0.83333331
TUR,2004,0.83333331
TUR,2005,0.77777779
TUR,2006,1.6111112
TUR,2007,1.6111112
TUR,2008,1.6388888
TUR,2009,1.6944444
TUR,2010,2.5555556
TUR,2011,2.7777777
TUR,2012,2.3888888
TUR,2013,2.5277777
TUR,2014,2.5277777
TUR,2015,2.6111112
TUR,2016,2.6944444
TUR,2017,2.7777777
TUR,2018,2.7222223
TUR,2019,2.8888888
TUR,2020,2.8888888
AUT,2000,1.8888888
AUT,2001,1.8888888
AUT,2002,1.8888888
AUT,2003,2.1944444
AUT,2004,2.1944444
AUT,2005,2.3055556
AUT,2006,2.5277777
AUT,2007,2.25
AUT,2008,2.6666667
AUT,2009,2.9444444
AUT,2010,3.0833333
AUT,2011,3.0555556
AUT,2012,2.9444444
AUT,2013,3.2777777
AUT,2014,3.1111112
AUT,2015,2.9444444
AUT,2016,2.9444444
AUT,2017,2.9444444
AUT,2018,3.0833333
AUT,2019,3.1388888
AUT,2020,3.3055556
NOR,2000,1.6388888
NOR,2001,1.5277778
NOR,2002,2.3611112
NOR,2003,2.25
NOR,2004,2.25
NOR,2005,2.4722223
NOR,2006,2.4722223
NOR,2007,2.8055556
NOR,2008,2.9722223
NOR,2009,3.6666667
NOR,2010,3.6666667
NOR,2011,3.7222223
NOR,2012,3.6666667
NOR,2013,3.6666667
NOR,2014,3.7222223
NOR,2015,3.7222223
NOR,2016,3.7222223
NOR,2017,3.7222223
NOR,2018,3.8333333
NOR,2019,3.8888888
NOR,2020,3.9444444
DNK,2000,2.0
DNK,2001,2.0
DNK,2002,1.888889
DNK,2003,2.6388888
DNK,2004,2.8055556
DNK,2005,3.0277777
DNK,2006,3.1388888
DNK,2007,3.1388888
DNK,2008,3.1944444
DNK,2009,3.4166667
DNK,2010,4.0833335
DNK,2011,4.2222223
DNK,2012,3.8888888
DNK,2013,4.0555553
DNK,2014,4.1111112
DNK,2015,4.0277777
DNK,2016,3.9444444
DNK,2017,4.0277777
DNK,2018,3.7777777
DNK,2019,3.6666667
DNK,2020,3.7222223
HUN,2000,1.2222222
HUN,2001,1.4722222
HUN,2002,1.6111112
HUN,2003,2.3611112
HUN,2004,2.2222223
HUN,2005,2.8333333
HUN,2006,2.9722223
HUN,2007,2.7777777
HUN,2008,3.0555556
HUN,2009,3.6388888
HUN,2010,3.5277777
HUN,2011,3.6666667
HUN,2012,3.5555556
HUN,2013,2.8888888
HUN,2014,2.8888888
HUN,2015,2.9722223
HUN,2016,2.6944444
HUN,2017,3.1111112
HUN,2018,2.6944444
HUN,2019,2.75
HUN,2020,2.8055556
IRL,2000,1.2222222
IRL,2001,1.1666666
IRL,2002,1.2222222
IRL,2003,1.9722222
IRL,2004,2.0277777
IRL,2005,2.0833333
IRL,2006,2.4444444
IRL,2007,2.3611112
IRL,2008,2.6388888
IRL,2009,2.6666667
IRL,2010,2.6666667
IRL,2011,2.5833333
IRL,2012,2.5833333
IRL,2013,2.8055556
IRL,2014,2.8611112
IRL,2015,2.8611112
IRL,2016,2.5
IRL,2017,2.4444444
IRL,2018,2.5
IRL,2019,2.5555556
IRL,2020,3.0
ESP,2000,1.4722222
ESP,2001,1.4722222
ESP,2002,1.4722222
ESP,2003,1.4722222
ESP,2004,2.2222223
ESP,2005,2.3611112
ESP,2006,2.3888888
ESP,2007,2.4722223
ESP,2008,2.5555556
ESP,2009,2.6666667
ESP,2010,2.6111112
ESP,2011,2.8333333
ESP,2012,2.8055556
ESP,2013,2.2222223
ESP,2014,2.3888888
ESP,2015,2.3888888
ESP,2016,2.2777777
ESP,2017,2.2777777
ESP,2018,2.4444444
ESP,2019,2.4444444
ESP,2020,2.5
RUS,2000,0.55555558
RUS,2001,0.6111111
RUS,2002,0.6111111
RUS,2003,0.72222221
RUS,2004,0.66666669
RUS,2005,0.66666669
RUS,2006,0.66666669
RUS,2007,0.66666669
RUS,2008,0.66666669
RUS,2009,0.66666669
RUS,2010,0.66666669
RUS,2011,0.66666669
RUS,2012,0.66666669
RUS,2013,1.0833334
RUS,2014,1.0833334
RUS,2015,1.0833334
RUS,2016,1.1666666
RUS,2017,1.1666666
RUS,2018,1.1666666
RUS,2019,1.1666666
RUS,2020,1.1666666
SVN,2000,0.52777779
SVN,2001,0.52777779
SVN,2002,0.52777779
SVN,2003,0.52777779
SVN,2004,0.52777779
SVN,2005,2.0277777
SVN,2006,2.0833333
SVN,2007,2.0833333
SVN,2008,2.25
SVN,2009,2.9166667
SVN,2010,2.8611112
SVN,2011,2.8611112
SVN,2012,2.75
SVN,2013,2.9166667
SVN,2014,2.8888888
SVN,2015,2.8888888
SVN,2016,2.9444444
SVN,2017,3.0
SVN,2018,3.0
SVN,2019,3.1666667
SVN,2020,3.2222223
